FP,isFake,SET
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10454_22992_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-482-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10481_22968_3.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3352-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4386-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10470_22972_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10470_22989_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-170-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1308-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1339-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10455_22981_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2978-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-563-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/26_12406_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10484_22994_3.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1731-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-953-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-903-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1476-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2782-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_22985_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/22_22888_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_22965_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10455_22982_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/14_22906_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6419-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-178-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10454_22968_2.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2594-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10490_22993_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/17_12404_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10485_23003_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10485_22970_2.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3163-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1071-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22886_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4833-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/26_22897_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3589-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/13_22895_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/29_12408_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3013-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10456_23003_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10465_22981_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1471-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4491-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/25_12430_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-3685-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10483_22988_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5509-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1845-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1711-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/13_12414_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3153-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/29_12404_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10455_22973_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10471_22980_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1602-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3726-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10477_22963_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22970_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12401_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/31_12409_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3456-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3899-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22986_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22964_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22911_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5989-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-7250-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10459_22971_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2984-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1034-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10482_22996_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10465_23003_0.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2666-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-7554-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/22_22904_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12415_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5776-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/28_22893_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-7416-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/17_22909_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6725-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1447-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/32_12415_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-27-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10461_22973_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10474_22980_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/15_22903_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10462_23005_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3778-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-898-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5700-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/13_22912_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2185-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-328-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5003-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2121-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-858-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10457_22959_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-908-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22980_0.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1830-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/1_12409_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-7371-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-650-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10482_22964_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10489_23000_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10484_23006_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10464_23001_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/29_22870_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4614-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/13_12409_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10469_22978_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1870-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-3290-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22977_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10489_22964_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4130-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/10_22881_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10458_22969_3.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2321-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-751-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1401-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4382-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-8058-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1143-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-3082-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1962-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-743-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6935-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2597-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-977-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/10_22876_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2572-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1261-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22963_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10456_22964_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/25_22867_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/3_12422_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10466_22973_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10456_22993_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-3129-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2291-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/31_12432_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10455_22994_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22900_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2143-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/13_22907_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1048-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10472_23006_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/28_12401_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10481_22998_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10494_22980_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/3_12412_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/13_22896_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-889-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22887_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/33_22871_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-285-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1053-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10456_22988_2.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3061-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10488_22959_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6275-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5659-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2192-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/19_12412_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/16_12403_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/20_22872_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-54-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22866_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2993-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-5564-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4375-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10480_22986_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2524-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/2_12408_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6392-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/30_22880_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1800-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10477_22998_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10474_22984_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-4465-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/15_22864_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10460_22977_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10466_22977_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22959_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/21_12402_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2728-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10466_22999_0.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2357-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3273-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2119-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-7110-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/12_12412_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10488_22969_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10463_22993_0.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3126-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2629-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10477_23002_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_22975_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10491_22986_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-529-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-2790-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22993_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1222-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/25_12420_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2120-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/25_22865_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22876_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2258-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/26_22872_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22897_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-657-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22996_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-945-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/22_22907_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/32_22871_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-3286-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10483_22976_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/10_12422_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1073-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1087-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/6_12402_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10488_23005_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/18_22902_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2624-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/22_12431_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10469_22977_2.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-700-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1039-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10483_22991_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-1446-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12404_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Beijing/ema/generated-03-17-2022_15-56-39-1435-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6856-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/11_22866_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2055-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22973_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-693-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/24_12412_A_real_A_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-3849-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-3900-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10465_22984_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10474_22968_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22973_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10483_22989_0.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1977-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10478_22997_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10457_22985_1.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-1856-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/29_12410_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2988-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/11_22905_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/18_22903_A_real_A_2.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-6268-ema.jpg,1,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-2584-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10473_22966_1.png,0,train
