FP,isFake,SET
../data/anti-deepfake-data and code/data/fake/Beijing_style/10459_22973.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10490_22974.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22961.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10490_22961.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/28_12413_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/27_22877_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10484_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22972.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/32_22909_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/24_22903_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22978.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22969.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10487_22979.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10482_22994.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/20_22867_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_22977.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10486_22979.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10463_22983.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10461_23004.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10462_23003.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12424_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_22971.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22970.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_23005.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10494_22973.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10481_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_22994.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/19_22893_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_23005.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22875_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10473_22986.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/10_12414_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/25_12417_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10467_22980.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10458_22992.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/29_22864_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10467_22982.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/26_22901_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10492_22992.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/26_22866_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/13_12434_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10458_22961.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22978.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10454_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_22963.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/26_12413_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10467_22995.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10488_22969.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10489_22997.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10469_22960.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/27_12402_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10466_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10475_22996.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10478_22970.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/14_12409_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10490_22994.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10494_22978.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22906_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_22960.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_22969.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10484_23000.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12402_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10473_22985.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10455_22965.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/31_22867_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_22996.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_23000.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/25_12421_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10461_23003.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10479_22984.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10490_22978.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/15_12418_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_22975.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10465_22992.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22985.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10466_22963.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/31_12422_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10482_22999.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10456_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_22975.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10478_22997.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22962.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12416_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/11_22894_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_23002.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22964.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22976.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/19_12412_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10493_22983.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10493_22979.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10490_22970.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10456_22968.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_22984.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22998.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10483_22986.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10490_22993.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/28_12424_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10454_22967.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22993.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/25_22900_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/24_22869_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10455_23002.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/5_12425_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10457_23006.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10494_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/13_22898_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10478_22964.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10459_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/11_22905_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10485_22973.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/14_12417_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_22977.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10462_22990.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10459_22992.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/30_12426_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10495_22997.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22995.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10484_23004.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10486_22999.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12411_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/11_22870_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22999.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_22988.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10463_22971.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22988.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/30_12427_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10486_22997.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_22994.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10486_22985.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/26_22879_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/5_12414_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/17_22875_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22959.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22989.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_22988.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10488_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10454_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/22_12418_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10492_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10478_22995.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10455_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_22989.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/22_22907_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/22_22880_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10465_22989.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10465_22962.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10484_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/10_12404_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10485_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/24_12414_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/29_12404_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10485_22992.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10455_22985.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_23003.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22966.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10463_22961.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10486_22995.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/23_12417_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/11_22900_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10463_22974.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10457_22992.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10494_22976.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10482_23004.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/19_22904_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10465_22998.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10495_22990.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12403_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10458_22981.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10484_22968.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_22981.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10464_22961.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12415_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/3_12412_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10461_22964.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10483_22988.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/31_12410_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_22962.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12406_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_22981.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10454_22996.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10483_22998.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10475_22985.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22961.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/20_12426_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/2_12406_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10494_22994.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10456_22965.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10466_22980.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/10_22873_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10460_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_22992.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22996.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/13_22896_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12405_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10459_22984.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10461_22984.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22975.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10468_22972.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_23004.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_22981.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10491_22976.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10460_22967.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_22976.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10490_22972.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10466_23005.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10454_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/23_12410_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/28_22872_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10459_22976.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_22961.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/21_22869_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10457_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10484_22998.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/25_12425_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22967.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_22985.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12405_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10457_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22994.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10468_22980.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_22992.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10489_22964.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_22965.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22981.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_23001.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22978.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_23004.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22982.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10474_22999.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_22985.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10469_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22963.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22978.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10467_22961.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/25_12416_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10457_22995.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10473_22994.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22965.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/28_22891_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10486_22964.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10458_22986.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10495_23005.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22864_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/21_22872_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22988.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10481_22996.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10469_22973.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10476_22975.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10458_22961.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10475_22979.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10486_22974.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22964.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/2_12409_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/5_12407_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_23003.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22970.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10458_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/22_12412_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10459_22961.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10469_22961.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10495_22994.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/26_22877_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_23005.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10475_22999.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10461_22965.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22972.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10462_22961.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_22974.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_23005.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10475_23003.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10460_22984.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10481_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10455_22998.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/24_12425_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10473_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12414_A_real_A.png,0,train
