FP,isFake,SET
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-18-01-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10470_23003_1.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_01-28-40-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-03-05-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/26_12432_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/29_12408_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-56-29-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_04-23-00-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-38-46-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12417_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-30-16-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_04-23-41-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22992_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/17_12433_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_07-35-03-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_01-09-55-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_06-42-15-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-57-39-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_00-47-53-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/6_12412_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/11_22866_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10488_23003_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/31_12404_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/26_22909_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_00-48-50-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-37-58-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/19_12413_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_07-09-48-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10475_22992_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10459_23004_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/6_12417_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12403_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_04-32-29-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-11-39-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/17_22892_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_06-23-19-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/31_22899_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_04-28-17-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/29_22897_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10475_22984_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_03-26-14-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22973_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/23_12417_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-08-45-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_06-37-08-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22991_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-45-51-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12421_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_00-54-38-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-25-31-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-55-12-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10493_22963_1.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_04-20-45-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10494_22970_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/10_12418_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10454_22975_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_12-15-51-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_00-56-17-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10458_22975_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10473_23004_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10459_23002_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10469_22969_2.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_07-38-24-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_01-17-44-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10465_22973_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/15_12428_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/27_22908_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_08-11-40-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-35-15-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10460_23006_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_04-28-05-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-59-12-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12410_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/27_12401_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_12-38-48-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_06-13-43-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22875_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10491_22997_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-50-19-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22895_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_07-19-30-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/26_22896_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_12-11-53-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_07-06-14-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22990_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_03-33-03-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/32_12406_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/21_12426_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22879_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/11_12425_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-01-42-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-14-30-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_03-33-18-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/12_22877_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-02-01-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-16-46-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_09-28-33-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-28-27-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_01-41-54-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10479_22999_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_13-09-29-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/14_12416_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_03-05-43-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_22960_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_12-37-54-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_00-59-26-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10459_22999_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12419_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10464_23005_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10455_22981_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/32_22868_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-17-13-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10490_22993_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10488_22987_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_00-58-53-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_10-36-22-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/15_12419_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/29_12413_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-55-22-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/18_22901_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10494_22982_1.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-11-52-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_07-26-23-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_09-05-38-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-28-04-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-19-31-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_06-50-32-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_10-58-49-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-50-08-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_00-30-04-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_12-46-29-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_06-16-02-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_10-21-52-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/29_22876_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_06-19-00-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-49-48-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12410_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10460_23002_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/23_22906_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_22998_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10454_22977_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10489_23000_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-43-10-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-32-16-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10472_22985_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12413_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/31_22909_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-21-15-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/22_22875_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-58-05-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10481_22966_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22960_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/14_12417_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/1_12433_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10476_22966_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/20_22875_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_01-27-18-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22883_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/12_22866_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_08-05-24-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-30-19-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/25_12402_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_06-18-07-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/22_12426_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-11-08-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-39-19-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_07-24-36-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10457_22976_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_22966_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/25_22898_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-50-12-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/20_22906_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-35-05-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-54-49-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_07-00-41-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/26_12412_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-42-49-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22992_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-43-01-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/15_22864_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_10-55-18-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/21_12402_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/23_12418_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_07-13-49-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22887_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10477_23003_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/30_12411_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10476_23001_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10486_22979_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-36-55-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10477_22983_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_01-14-36-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-34-09-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_09-32-18-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-09-24-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10454_22979_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10473_22972_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10475_23000_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-34-44-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-19-56-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10474_22972_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/19_12408_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10479_22959_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-51-07-0-ema.jpg,1,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_01-04-07-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/26_12401_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-45-16-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10487_22999_0.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_01-19-38-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22884_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/27_22881_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-09-17-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/16_22908_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/19_22891_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-19-15-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10467_23004_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_00-47-29-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/24_22910_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/15_22912_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-49-04-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/18_12424_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10460_22971_3.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_06-40-47-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-47-17-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10480_23006_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/4_12414_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/25_22877_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_09-43-53-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10470_22989_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10491_22987_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_05-34-22-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_08-06-23-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/20_12421_A_real_A_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-47-21-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10456_22987_1.png,0,train
../data/lightGAN-gen/images/Seattle-generated-150/ema/generated-03-13-2022_03-58-53-0-ema.jpg,1,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_04-16-17-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/20_22894_A_real_A_2.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_07-43-58-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/33_12422_A_real_A_3.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_04-13-01-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10492_23004_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_05-01-07-0-ema.jpg,1,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_04-50-45-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10483_22986_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10471_22967_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/3_12411_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10491_22960_3.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_11-25-06-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10480_23002_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10494_22971_2.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_03-10-48-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10480_22974_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_06-14-28-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/25_22885_A_real_A_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/21_22895_A_real_A_0.png,0,train
